Profile,Latitude,Longitude,CLCD,MAT,climate_zone,n_layers
1,21.44227,101.31306,Forest,23.19,Tropical,4
2,22.58412,101.77253,Forest,20.3,Tropical,4
3,22.79677,100.99384,Forest,19.08,Warm,5
4,21.57646,101.47014,Cropland,21.52,Tropical,3
5,22.58099,99.85086,Forest,18.69,Warm,4
6,22.63992,99.8559,Forest,18.3,Warm,4
7,22.61995,99.80832,Cropland,18.4,Warm,4
8,22.64616,103.13535,Forest,22.77,Tropical,4
9,22.6978,101.90491,Forest,17.82,Warm,5
10,21.91791,101.07939,Cropland,21.92,Tropical,5
11,22.54446,99.93537,Grassland,20.07,Tropical,4
12,22.73356,103.18616,Forest,19.71,Warm,4
13,22.83797,103.87203,Cropland,22.1,Tropical,4
14,22.64194,100.12508,Forest,20.97,Tropical,8
15,21.19861111,109.8075,Cropland,23.16,Tropical,5
16,20.89416667,110.1233333,Cropland,23.53,Tropical,5
17,20.33722222,110.0544444,Forest,24.04,Tropical,5
18,21.60472222,110.0905556,Cropland,22.87,Tropical,5
19,20.56472222,110.0733333,Cropland,23.58,Tropical,5
20,21.12527778,110.0255556,Cropland,23.29,Tropical,6
21,20.58333333,110.0666667,Cropland,23.53,Tropical,5
22,21.69944444,110.1086111,Cropland,22.64,Tropical,4
23,20.90055556,110.0586111,Forest,23.56,Tropical,4
24,21.19777778,109.9175,Cropland,23.22,Tropical,5
25,20.34305556,110.0758333,Cropland,24.01,Tropical,4
26,21.90111111,108.5105833,Cropland,21.78,Tropical,5
27,21.80713889,108.4816389,Cropland,21.87,Tropical,4
28,21.72825,108.0735278,Cropland,22.22,Tropical,4
29,22.19638889,108.7785,Cropland,21.58,Tropical,5
30,22.20433333,107.2082222,Cropland,22.39,Tropical,5
31,22.19002778,108.8049167,Cropland,21.61,Tropical,4
32,22.83552778,108.0266667,Cropland,22.19,Tropical,5
33,22.08263889,109.9991667,Cropland,22.12,Tropical,5
34,21.63636111,108.7865,Cropland,22.26,Tropical,5
35,21.72663889,109.2911111,Cropland,22.5,Tropical,5
36,22.48238889,107.4819167,Cropland,22.54,Tropical,5
37,22.80183333,108.0042778,Cropland,22.28,Tropical,4
38,22.05055556,107.0165278,Cropland,22.32,Tropical,5
39,22.32686111,107.4404167,Cropland,22.35,Tropical,4
40,22.21425,110.0000833,Cropland,22.22,Tropical,6
41,22.20133333,108.4800556,Cropland,21.5,Tropical,5
42,21.6095,109.4242222,Cropland,22.72,Tropical,4
43,21.52377778,109.7326389,Forest,22.66,Tropical,4
44,21.63986111,108.7669167,Cropland,22.14,Tropical,4
45,21.88477778,108.5107778,Grassland,21.81,Tropical,4
46,21.68486111,109.4205,Cropland,22.52,Tropical,4
47,21.85002778,108.6452778,Forest,21.59,Tropical,5
48,21.59130556,109.7019722,Cropland,22.66,Tropical,4
49,22.69694444,107.4366111,Cropland,22.35,Tropical,4
50,22.32913889,107.8870833,Cropland,22.05,Tropical,4
51,21.92580556,108.7418333,Forest,21.64,Tropical,5
52,21.78777778,108.8046667,Forest,21.87,Tropical,4
53,21.70358333,109.2635556,Grassland,22.45,Tropical,4
54,22.25169444,107.65325,Cropland,22.25,Tropical,4
55,19.09672222,108.6417222,Forest,25.27,Tropical,4
56,19.697,109.6968333,Cropland,24.28,Tropical,4
57,18.90030556,108.6716111,Cropland,25.25,Tropical,4
58,18.57166667,109.7133333,Cropland,25.24,Tropical,4
59,19.88422222,109.7394444,Other,24.3,Tropical,4
60,18.40019444,109.7338333,Cropland,25.7,Tropical,4
61,19.53258333,109.3807778,Forest,24.13,Tropical,5
62,18.41388889,110.0308333,Cropland,25.56,Tropical,3
63,18.47572222,109.6606944,Forest,25.03,Tropical,4
64,19.42627778,109.6711944,Forest,23.87,Tropical,5
65,19.81655556,109.3458333,Cropland,24.41,Tropical,3
66,19.44772222,109.2203889,Forest,24.31,Tropical,5
67,18.6385,109.6883056,Forest,25.18,Tropical,4
68,19.59622222,110.0048056,Forest,24.12,Tropical,4
69,18.57083333,110.0152778,Cropland,25.52,Tropical,4
70,19.02180556,108.9679444,Cropland,24.71,Tropical,4
71,18.44991667,108.9101944,Cropland,25.62,Tropical,4
72,19.70505556,109.69125,Cropland,24.28,Tropical,4
73,18.44180556,109.93675,Cropland,25.69,Tropical,4
74,18.47688889,109.8558889,Forest,25.39,Tropical,4
75,18.66577778,109.2072222,Cropland,24.43,Tropical,3
76,18.39338889,110.0500833,Forest,25.51,Tropical,4
77,18.46738889,108.8761944,Forest,25.6,Tropical,4
78,18.29658333,109.60375,Cropland,25.73,Tropical,4
79,18.74016667,109.4755278,Cropland,23.34,Tropical,4
80,18.74055556,109.5811667,Cropland,23.3,Tropical,4
81,19.80327778,109.9325278,Cropland,24.02,Tropical,4
82,19.66244444,109.7256667,Cropland,24.11,Tropical,4
83,18.77930556,108.6917222,Cropland,25.33,Tropical,4
84,19.99194444,109.7142778,Cropland,24.19,Tropical,3
85,18.39761111,109.1688333,Cropland,25.74,Tropical,3
86,19.79844444,109.3458333,Forest,24.47,Tropical,3
87,18.35438889,109.3266667,Cropland,25.27,Tropical,4
88,19.44544444,109.2358889,Forest,24.24,Tropical,4
89,19.60511111,109.1287778,Forest,24.46,Tropical,2
90,19.38222222,109.0887778,Cropland,24.54,Tropical,4
91,19.66522222,109.9986944,Cropland,24.16,Tropical,3
92,19.53952778,109.4604444,Forest,24.01,Tropical,4
93,19.90744444,109.7295556,Cropland,24.22,Tropical,4
94,19.54547222,109.5579167,Cropland,24.13,Tropical,5
95,19.10816667,108.7320833,Other,25.09,Tropical,3
96,18.42277778,109.1881667,Forest,25.59,Tropical,3
97,19.21230556,109.5590833,Forest,23.88,Tropical,4
98,19.56611111,109.8515278,Forest,24.07,Tropical,4
99,19.54022222,110.0465,Forest,24.04,Tropical,3
100,19.07419444,109.4078889,Forest,23.44,Tropical,4
101,18.61622222,109.9065556,Forest,25.2,Tropical,4
102,19.45566667,110.0268611,Forest,24.01,Tropical,3
103,19.3295,110.0686667,Forest,24.21,Tropical,3
104,19.68336111,110.0715833,Forest,24.32,Tropical,5
105,19.67886111,109.7374444,Cropland,24.12,Tropical,4
106,18.53252778,109.4696944,Forest,23.43,Tropical,4
107,19.93108333,110.1223889,Grassland,24.24,Tropical,4
108,18.65486111,109.9546944,Forest,25.01,Tropical,4
109,19.58041667,109.6934167,Forest,24.05,Tropical,3
110,18.35344444,109.1772778,Cropland,25.71,Tropical,3
111,18.37572222,109.6049722,Forest,24.85,Tropical,3
112,19.44216667,109.2115833,Forest,24.27,Tropical,4
113,19.04186111,109.7860278,Cropland,23.52,Tropical,4
114,18.50247222,109.2647778,Forest,24.91,Tropical,3
115,18.55958333,108.7526111,Cropland,25.55,Tropical,4
116,19.09736111,109.5645278,Forest,22.69,Tropical,5
117,19.38563889,109.0509444,Forest,24.69,Tropical,3
118,18.50613889,109.6301111,Forest,24.64,Tropical,3
119,19.59205556,109.3510556,Forest,24.32,Tropical,4
120,19.906,109.7477778,Forest,24.19,Tropical,3
121,19.57347222,109.3685278,Forest,24.17,Tropical,3
122,18.61838889,108.7145833,Cropland,25.48,Tropical,3
123,19.71794444,109.4596944,Forest,24.46,Tropical,4
124,19.10138889,108.7298889,Grassland,25.08,Tropical,4
125,19.39775,109.6147222,Forest,23.71,Tropical,3
126,19.10922222,108.8483889,Cropland,24.84,Tropical,3
127,19.92016667,109.7361667,Cropland,24.16,Tropical,4
128,19.152,109.4967222,Forest,23.93,Tropical,3
129,19.66952778,109.2344444,Cropland,24.6,Tropical,3
130,19.33333333,108.6833333,Cropland,24.69,Tropical,3
131,22.11305556,112.7752778,Cropland,22.8,Tropical,6
132,21.5825,111.585,Forest,23.27,Tropical,5
133,20.47388889,110.4122222,Cropland,23.89,Tropical,5
134,22.73722222,113.4738889,Cropland,22.42,Tropical,5
135,21.43111111,110.7141667,Cropland,23.31,Tropical,7
136,22.33555556,112.6266667,Cropland,22.77,Tropical,5
137,21.75611111,110.6913889,Cropland,23.02,Tropical,6
138,21.75694444,110.9302778,Cropland,23.19,Tropical,6
139,22.56972222,112.0061111,Forest,22.47,Tropical,6
140,22.33861111,111.9063889,Cropland,22.83,Tropical,5
141,22.57083333,112.9286111,Cropland,22.33,Tropical,6
142,22.39722222,111.0483333,Forest,20.57,Tropical,6
143,22.07777778,113.1961111,Cropland,22.65,Tropical,6
144,22.62361111,113.5966667,Cropland,22.51,Tropical,4
145,22.30222222,113.2038889,Cropland,22.58,Tropical,5
146,21.45777778,110.6655556,Cropland,23.2,Tropical,6
147,21.88694444,111.8944444,Cropland,23.09,Tropical,6
148,22.80222222,113.4341667,Grassland,22.31,Tropical,5
149,21.82638889,112.1486111,Cropland,23.05,Tropical,6
150,22.73166667,111.4686111,Cropland,22.77,Tropical,6
151,22.40444444,111.9041667,Cropland,22.82,Tropical,5
152,21.74111111,110.8572222,Cropland,23.21,Tropical,6
153,20.48277778,110.3358333,Cropland,23.54,Tropical,4
154,21.91777778,111.8433333,Grassland,23.01,Tropical,5
155,22.35638889,113.4125,Forest,22.65,Tropical,6
156,21.48666667,110.9344444,Forest,23.29,Tropical,6
157,21.92138889,112.2172222,Forest,22.74,Tropical,5
158,21.48833333,110.6836111,Cropland,23.2,Tropical,4
159,22.66861111,111.4263889,Forest,22.53,Tropical,4
160,21.21194444,110.2283333,Cropland,22.99,Tropical,4
161,22.08111111,110.8577778,Forest,22.8,Tropical,5
162,22.49416667,110.8975,Forest,21.52,Tropical,5
163,22.58333333,111.6433333,Forest,22.52,Tropical,4
164,22.32361111,111.0288889,Forest,21.49,Tropical,4
165,22.19527778,112.4780556,Cropland,22.65,Tropical,4
166,22.78083333,115.8316667,Cropland,22.29,Tropical,3
167,22.77944444,111.4819444,Forest,22.48,Tropical,1
168,22.15041667,110.2673333,Cropland,22.17,Tropical,4
169,22.15833333,110.2523056,Cropland,22.19,Tropical,4
170,22.68063889,110.3635556,Forest,21.84,Tropical,5
171,18.88183333,110.4583333,Cropland,25.17,Tropical,4
172,19.83961111,110.3700556,Cropland,24.34,Tropical,4
173,19.80805556,110.2504722,Cropland,24.2,Tropical,4
174,19.59577778,110.6994444,Cropland,24.33,Tropical,8
175,19.71188889,110.8266389,Cropland,24.34,Tropical,4
176,19.81444444,110.3829722,Cropland,24.37,Tropical,4
177,19.99805556,110.6623056,Cropland,24.25,Tropical,4
178,19.23466667,110.4021389,Cropland,24.74,Tropical,4
