model,depth_group,R2_random,R2_spatial,delta_R2
LinearReg,all,0.5192273571527212,0.5013291322479636,0.017898224904757565
LinearReg,surface,0.5028705706677044,0.47980913998750585,0.023061430680198503
LinearReg,deep,0.39128847556683105,0.36591994451219667,0.02536853105463438
Ridge,all,0.5189877832124471,0.5008339294675913,0.018153853744855786
Ridge,surface,0.4987877866147669,0.47558864809227985,0.02319913852248706
Ridge,deep,0.3924967145904254,0.36634320089387,0.026153513696555386
RF,all,0.6927521929511479,0.5832363291153209,0.10951586383582701
RF,surface,0.6844243785469362,0.5590482811796555,0.12537609736728061
RF,deep,0.6100848674665917,0.47317452868984883,0.1369103387767429
XGBoost,all,0.7185636989919594,0.5847348835224662,0.1338288154694932
XGBoost,surface,0.7001874221465862,0.5570803609132844,0.14310706123330186
XGBoost,deep,0.6470497032785436,0.4758513960925999,0.1711983071859437
