,0-20cm,20-50cm,50-100cm,>100cm
BD_g_cm3,0.24643385,0.15494244,0.12380777,0.07903809
pH,0.03773589,0.049567096,0.04679149,0.05346919
Sand_%,0.023292966,0.03908087,0.051121783,0.05232752
Silt_%,0.02295584,0.030132666,0.045226894,0.04207939
Clay_%,0.094708666,0.08031292,0.061801743,0.05530727
DEM_m,0.04295544,0.0635517,0.08944922,0.061448604
NDVI,0.019198757,0.0316529,0.040340632,0.0586824
MAT_°C,0.061330594,0.09543832,0.08599737,0.10040261
MAP_mm,0.033288214,0.05687085,0.063580595,0.055406366
PET_mm,0.061060883,0.057774883,0.06899785,0.07373877
AI,0.038447235,0.045478173,0.058561396,0.058913946
depth_mid,0.052910276,0.053372115,0.04325409,0.038489487
depth_thickness,0.025517792,0.031330243,0.03718124,0.045173835
clcd_Cropland,0.018371422,0.041657183,0.04818567,0.041843254
clcd_Forest,0.02186634,0.031050634,0.032723814,0.06087908
clcd_Grassland,0.018835744,0.020702168,0.032104757,0.048904974
clcd_Other,0.18109006,0.11708483,0.070873745,0.07389519
