coverage_threshold,standard_depth_cm,n_records,n_profiles,SOC_mean_g_kg,SOC_median_g_kg
0.50,0-20,5668,5668,16.5342291493,12.6042
0.50,20-50,4199,4199,9.4934048475,6.5000
0.50,50-100,3607,3607,6.3991439358,4.3320
0.50,100-200,515,515,5.1673639527,3.3449342617
0.80,0-20,4832,4832,16.0311039334,12.0400
0.80,20-50,4023,4023,9.3023215587,6.4666666667
0.80,50-100,3388,3388,6.2147479618,4.2952436196
0.80,100-200,140,140,5.1030633683,3.3781304348
1.00,0-20,4820,4820,16.0302595694,12.0400
1.00,20-50,3966,3966,9.2923215587,6.4805259088
1.00,50-100,3209,3209,6.1853467772,4.2500
1.00,100-200,85,85,4.9559154375,3.1070
