Profile,seed,random_fold
560,20260725,0
2743,20260725,0
2862,20260725,0
1655,20260725,0
1593,20260725,0
4845,20260725,0
2237,20260725,0
1669,20260725,0
528,20260725,0
2839,20260725,0
246,20260725,0
5832,20260725,0
3207,20260725,0
3445,20260725,0
125,20260725,0
4810,20260725,0
2393,20260725,0
3076,20260725,0
830,20260725,0
4468,20260725,0
2189,20260725,0
4177,20260725,0
5538,20260725,0
1468,20260725,0
5613,20260725,0
5305,20260725,0
2250,20260725,0
3850,20260725,0
3456,20260725,0
1849,20260725,0
166,20260725,0
592,20260725,0
1171,20260725,0
21,20260725,0
2136,20260725,0
1509,20260725,0
5054,20260725,0
2050,20260725,0
3623,20260725,0
4329,20260725,0
2749,20260725,0
4690,20260725,0
2484,20260725,0
65,20260725,0
4365,20260725,0
5578,20260725,0
3708,20260725,0
5142,20260725,0
1399,20260725,0
5667,20260725,0
5721,20260725,0
2552,20260725,0
3911,20260725,0
962,20260725,0
3722,20260725,0
5034,20260725,0
1634,20260725,0
1490,20260725,0
2991,20260725,0
758,20260725,0
817,20260725,0
2528,20260725,0
435,20260725,0
3133,20260725,0
3995,20260725,0
3922,20260725,0
5251,20260725,0
3075,20260725,0
510,20260725,0
2648,20260725,0
3285,20260725,0
5294,20260725,0
3348,20260725,0
193,20260725,0
2925,20260725,0
1482,20260725,0
4747,20260725,0
4440,20260725,0
2505,20260725,0
1189,20260725,0
911,20260725,0
2413,20260725,0
5486,20260725,0
105,20260725,0
2207,20260725,0
1647,20260725,0
5368,20260725,0
750,20260725,0
766,20260725,0
443,20260725,0
5090,20260725,0
1555,20260725,0
1736,20260725,0
4004,20260725,0
3221,20260725,0
229,20260725,0
3646,20260725,0
1513,20260725,0
5220,20260725,0
3587,20260725,0
1404,20260725,0
3501,20260725,0
2405,20260725,0
3565,20260725,0
3756,20260725,0
5357,20260725,0
1618,20260725,0
3178,20260725,0
2095,20260725,0
3117,20260725,0
4556,20260725,0
5610,20260725,0
3291,20260725,0
3328,20260725,0
1354,20260725,0
5698,20260725,0
5032,20260725,0
2913,20260725,0
5766,20260725,0
3375,20260725,0
1813,20260725,0
575,20260725,0
4063,20260725,0
2345,20260725,0
2362,20260725,0
4980,20260725,0
1165,20260725,0
3038,20260725,0
5559,20260725,0
3666,20260725,0
2108,20260725,0
5519,20260725,0
395,20260725,0
4305,20260725,0
609,20260725,0
143,20260725,0
4557,20260725,0
5375,20260725,0
673,20260725,0
714,20260725,0
1732,20260725,0
4572,20260725,0
5759,20260725,0
4356,20260725,0
1053,20260725,0
5104,20260725,0
1950,20260725,0
3710,20260725,0
3157,20260725,0
3423,20260725,0
3543,20260725,0
839,20260725,0
2483,20260725,0
1467,20260725,0
4221,20260725,0
1863,20260725,0
449,20260725,0
4270,20260725,0
3931,20260725,0
2803,20260725,0
5210,20260725,0
3446,20260725,0
5308,20260725,0
3599,20260725,0
400,20260725,0
4153,20260725,0
1695,20260725,0
5283,20260725,0
4006,20260725,0
4378,20260725,0
2608,20260725,0
2651,20260725,0
4249,20260725,0
1438,20260725,0
3962,20260725,0
4940,20260725,0
1275,20260725,0
4675,20260725,0
5416,20260725,0
2400,20260725,0
439,20260725,0
5383,20260725,0
2078,20260725,0
4102,20260725,0
5674,20260725,0
2306,20260725,0
3653,20260725,0
507,20260725,0
4998,20260725,0
2688,20260725,0
4518,20260725,0
512,20260725,0
359,20260725,0
2970,20260725,0
4227,20260725,0
3761,20260725,0
4393,20260725,0
1730,20260725,0
2662,20260725,0
977,20260725,0
3634,20260725,0
4243,20260725,0
2640,20260725,0
1663,20260725,0
3690,20260725,0
1027,20260725,0
2716,20260725,0
1040,20260725,0
4635,20260725,0
2520,20260725,0
1504,20260725,0
2369,20260725,0
732,20260725,0
3200,20260725,0
3429,20260725,0
527,20260725,0
648,20260725,0
93,20260725,0
624,20260725,0
824,20260725,0
4049,20260725,0
4874,20260725,0
4761,20260725,0
5605,20260725,0
4977,20260725,0
2247,20260725,0
918,20260725,0
197,20260725,0
5085,20260725,0
2124,20260725,0
4606,20260725,0
4119,20260725,0
1855,20260725,0
5762,20260725,0
5837,20260725,0
1300,20260725,0
1927,20260725,0
2894,20260725,0
2630,20260725,0
5543,20260725,0
4812,20260725,0
378,20260725,0
2577,20260725,0
590,20260725,0
2178,20260725,0
5091,20260725,0
5429,20260725,0
5839,20260725,0
3988,20260725,0
837,20260725,0
4615,20260725,0
1103,20260725,0
2930,20260725,0
2365,20260725,0
869,20260725,0
5646,20260725,0
3763,20260725,0
5504,20260725,0
3852,20260725,0
3863,20260725,0
1557,20260725,0
4590,20260725,0
913,20260725,0
4058,20260725,0
324,20260725,0
149,20260725,0
3788,20260725,0
4059,20260725,0
6,20260725,0
3009,20260725,0
3449,20260725,0
1431,20260725,0
4844,20260725,0
4161,20260725,0
4841,20260725,0
4142,20260725,0
2109,20260725,0
5213,20260725,0
1072,20260725,0
3340,20260725,0
187,20260725,0
5704,20260725,0
1770,20260725,0
4659,20260725,0
4471,20260725,0
3313,20260725,0
365,20260725,0
5866,20260725,0
