Samples,Profile,Latitude,Longitude,Upper_depth_cm,Lower_depth_cm,SOC_g_kg,pH,CLCD,Time,log_SOC,is_surface,grid_lat,grid_lon,grid_id,depth_bin
1,1,21.44227,101.31306,0,15,7.0,4.5,Forest,2014,2.0794415416798357,1,4,20,4020,0-20cm
2,1,21.44227,101.31306,15,25,4.2,5.3,Forest,2014,1.6486586255873816,0,4,20,4020,0-20cm
3,1,21.44227,101.31306,25,68,3.5,5.7,Forest,2014,1.5040773967762742,0,4,20,4020,20-50cm
4,1,21.44227,101.31306,68,100,2.9,6.2,Forest,2014,1.3609765531356006,0,4,20,4020,50-100cm
5,2,22.58412,101.77253,0,20,11.8,4.6,Forest,2014,2.5494451709255714,1,4,20,4020,0-20cm
6,2,22.58412,101.77253,20,50,7.6,4.6,Forest,2014,2.151762203259462,0,4,20,4020,20-50cm
7,2,22.58412,101.77253,50,85,4.6,4.7,Forest,2014,1.7227665977411035,0,4,20,4020,50-100cm
8,2,22.58412,101.77253,85,120,3.9,4.8,Forest,2014,1.589235205116581,0,4,20,4020,50-100cm
9,3,22.79677,100.99384,0,20,13.9,4.7,Forest,2014,2.7013612129514133,1,4,20,4020,0-20cm
10,3,22.79677,100.99384,20,40,7.3,4.6,Forest,2014,2.1162555148025524,0,4,20,4020,20-50cm
11,3,22.79677,100.99384,40,85,3.6,4.5,Forest,2014,1.5260563034950494,0,4,20,4020,20-50cm
12,3,22.79677,100.99384,85,120,3.1,4.5,Forest,2014,1.410986973710262,0,4,20,4020,50-100cm
13,3,22.79677,100.99384,120,140,2.1,4.7,Forest,2014,1.1314021114911006,0,4,20,4020,>100cm
14,4,21.57646,101.47014,0,18,15.9,4.4,Cropland,2014,2.827313621929028,1,4,20,4020,0-20cm
15,4,21.57646,101.47014,18,60,10.3,4.4,Cropland,2014,2.424802725718295,0,4,20,4020,0-20cm
16,4,21.57646,101.47014,60,120,8.9,4.6,Cropland,2014,2.2925347571405443,0,4,20,4020,50-100cm
