Profile,Latitude,Longitude,grid_id,spatial_fold
1,21.44227,101.31306,4020,0
2,22.58412,101.77253,4020,0
3,22.79677,100.99384,4020,0
4,21.57646,101.47014,4020,0
5,22.58099,99.85086,4019,3
6,22.63992,99.8559,4019,3
7,22.61995,99.80832,4019,3
8,22.64616,103.13535,4020,0
9,22.6978,101.90491,4020,0
10,21.91791,101.07939,4020,0
11,22.54446,99.93537,4019,3
12,22.73356,103.18616,4020,0
13,22.83797,103.87203,4020,0
14,22.64194,100.12508,4020,0
15,21.19861111,109.8075,4021,0
16,20.89416667,110.1233333,4022,1
17,20.33722222,110.0544444,4022,1
18,21.60472222,110.0905556,4022,1
19,20.56472222,110.0733333,4022,1
20,21.12527778,110.0255556,4022,1
21,20.58333333,110.0666667,4022,1
22,21.69944444,110.1086111,4022,1
23,20.90055556,110.0586111,4022,1
24,21.19777778,109.9175,4021,0
25,20.34305556,110.0758333,4022,1
26,21.90111111,108.5105833,4021,0
27,21.80713889,108.4816389,4021,0
28,21.72825,108.0735278,4021,0
29,22.19638889,108.7785,4021,0
30,22.20433333,107.2082222,4021,0
31,22.19002778,108.8049167,4021,0
32,22.83552778,108.0266667,4021,0
33,22.08263889,109.9991667,4021,0
34,21.63636111,108.7865,4021,0
35,21.72663889,109.2911111,4021,0
36,22.48238889,107.4819167,4021,0
37,22.80183333,108.0042778,4021,0
38,22.05055556,107.0165278,4021,0
39,22.32686111,107.4404167,4021,0
40,22.21425,110.0000833,4022,1
41,22.20133333,108.4800556,4021,0
42,21.6095,109.4242222,4021,0
43,21.52377778,109.7326389,4021,0
44,21.63986111,108.7669167,4021,0
45,21.88477778,108.5107778,4021,0
46,21.68486111,109.4205,4021,0
47,21.85002778,108.6452778,4021,0
48,21.59130556,109.7019722,4021,0
49,22.69694444,107.4366111,4021,0
50,22.32913889,107.8870833,4021,0
51,21.92580556,108.7418333,4021,0
52,21.78777778,108.8046667,4021,0
53,21.70358333,109.2635556,4021,0
54,22.25169444,107.65325,4021,0
55,19.09672222,108.6417222,3021,2
56,19.697,109.6968333,3021,2
57,18.90030556,108.6716111,3021,2
58,18.57166667,109.7133333,3021,2
59,19.88422222,109.7394444,3021,2
60,18.40019444,109.7338333,3021,2
61,19.53258333,109.3807778,3021,2
62,18.41388889,110.0308333,3022,1
63,18.47572222,109.6606944,3021,2
64,19.42627778,109.6711944,3021,2
65,19.81655556,109.3458333,3021,2
66,19.44772222,109.2203889,3021,2
67,18.6385,109.6883056,3021,2
68,19.59622222,110.0048056,3022,1
69,18.57083333,110.0152778,3022,1
70,19.02180556,108.9679444,3021,2
71,18.44991667,108.9101944,3021,2
72,19.70505556,109.69125,3021,2
