cv_type,model,depth_group,R2_mean,R2_std,RMSE_mean,RMSE_std
Random_5fold,Mean_baseline,all,-0.0006778078788771235,0.00038269687985552044,0.8324035053688743,0.025126237704088675
Random_5fold,Mean_baseline,surface,-0.47059753402643756,0.09225746203558405,0.9391718289254747,0.042338332841804896
Random_5fold,Mean_baseline,deep,-0.09037612804727586,0.01961768761466406,0.7826886542717854,0.0298001657529224
Random_5fold,LinearReg,all,0.5006754183162319,0.033853285766699236,0.5881852629351554,0.0363850786616418
Random_5fold,LinearReg,surface,0.4975336241762891,0.05086408514090161,0.5494401206934183,0.047602857096251464
Random_5fold,LinearReg,deep,0.3502880309914456,0.04403261323205906,0.6041200520500041,0.03565718072619112
Random_5fold,Ridge,all,0.5010791386586211,0.032285606953977516,0.5879521310523097,0.035494710715738
Random_5fold,Ridge,surface,0.4974230479470087,0.04990887943871354,0.5494481128743132,0.04635114532256579
Random_5fold,Ridge,deep,0.35101126976890484,0.042587608543320596,0.6037863152719642,0.034919341108551855
Random_5fold,RandomForest,all,0.648446986882125,0.012935420506660288,0.4935306877741791,0.023177587925746437
Random_5fold,RandomForest,surface,0.6118473602348701,0.034239961843255506,0.4829967776852621,0.0389399280146812
Random_5fold,RandomForest,deep,0.5573497332853586,0.03255122811184853,0.49821448492306003,0.02227415656004053
Spatial_block,Mean_baseline,all,-0.048388139662069785,0.03192709641816168,0.8379005558729673,0.04907580551881176
Spatial_block,Mean_baseline,surface,-0.5462034290172572,0.4023252572178628,0.9312130126039382,0.11541114610716605
Spatial_block,Mean_baseline,deep,-0.1439582040972777,0.1286168934862492,0.7890026717168495,0.04637661465373265
Spatial_block,LinearReg,all,0.4314219400238352,0.06788727558854916,0.6164494283192047,0.05344161514812677
Spatial_block,LinearReg,surface,0.43537970210665666,0.029692909386867132,0.5676205869322967,0.019071169342512878
Spatial_block,LinearReg,deep,0.2558153208698303,0.13046580284046902,0.6367369794149295,0.07071836329224845
Spatial_block,Ridge,all,0.43161669313921375,0.0679503690770064,0.6163566306769298,0.05362389544176993
Spatial_block,Ridge,surface,0.43550387172128086,0.02788268520510705,0.5676968767414754,0.021458211623661416
Spatial_block,Ridge,deep,0.2560860918093012,0.13051564161815543,0.6365779590812976,0.07039488043447718
Spatial_block,RandomForest,all,0.5409604390103002,0.05068835235933972,0.5536446026911724,0.042795671296838096
Spatial_block,RandomForest,surface,0.5105773779336482,0.0770373406520265,0.5256588795719106,0.0256132516534009
Spatial_block,RandomForest,deep,0.41376521753747175,0.07567691485975798,0.5659468609582707,0.05402900260883764
