SOC_g_kg,log_SOC,depth_bin
7.0,2.0794415416798357,0-20cm
4.2,1.6486586255873816,0-20cm
3.5,1.5040773967762742,20-50cm
2.9,1.3609765531356006,50-100cm
11.8,2.5494451709255714,0-20cm
7.6,2.151762203259462,20-50cm
4.6,1.7227665977411035,50-100cm
3.9,1.589235205116581,50-100cm
13.9,2.7013612129514133,0-20cm
7.3,2.1162555148025524,20-50cm
3.6,1.5260563034950494,20-50cm
3.1,1.410986973710262,50-100cm
2.1,1.1314021114911006,>100cm
15.9,2.827313621929028,0-20cm
10.3,2.424802725718295,0-20cm
8.9,2.2925347571405443,50-100cm
17.2,2.9014215940827497,0-20cm
13.5,2.6741486494265287,20-50cm
5.2,1.824549292051046,50-100cm
3.1,1.410986973710262,>100cm
18.7,2.9806186357439426,0-20cm
8.8,2.2823823856765264,20-50cm
5.5,1.8718021769015913,20-50cm
2.9,1.3609765531356006,50-100cm
25.7,3.2846635654062037,0-20cm
24.0,3.2188758248682006,0-20cm
15.5,2.803360380906535,20-50cm
13.9,2.7013612129514133,50-100cm
16.1,2.8390784635086144,0-20cm
13.0,2.6390573296152584,0-20cm
12.8,2.624668592163159,20-50cm
13.5,2.6741486494265287,50-100cm
21.8,3.126760535960395,0-20cm
22.8,3.169685580677429,20-50cm
34.1,3.55820113047182,20-50cm
16.2,2.8449093838194073,50-100cm
8.4,2.2407096892759584,50-100cm
18.0,2.9444389791664403,0-20cm
10.0,2.3978952727983707,20-50cm
6.2,1.9740810260220096,50-100cm
4.5,1.7047480922384253,50-100cm
4.1,1.62924053973028,>100cm
15.7,2.8154087194227095,0-20cm
7.3,2.1162555148025524,20-50cm
4.8,1.7578579175523736,50-100cm
2.3,1.1939224684724346,50-100cm
11.7,2.5416019934645457,0-20cm
8.1,2.2082744135228043,0-20cm
14.6,2.747270914255491,20-50cm
11.3,2.509599262378372,>100cm
30.6,3.4531571205928664,0-20cm
21.3,3.104586678466073,0-20cm
10.8,2.468099531471619,20-50cm
10.8,2.468099531471619,50-100cm
14.2,2.7212954278522306,0-20cm
5.1,1.8082887711792655,0-20cm
4.0,1.6094379124341003,20-50cm
3.5,1.5040773967762742,50-100cm
49.6,3.92395157629342,0-20cm
16.4,2.856470206220483,20-50cm
6.8,2.0541237336955462,20-50cm
6.2,1.9740810260220096,50-100cm
16.5,2.8622008809294686,0-20cm
12.9,2.631888840136646,0-20cm
10.3,2.424802725718295,20-50cm
20.8,3.0819099697950434,50-100cm
118.4,4.782479200958502,50-100cm
19.6,3.0252910757955354,0-20cm
15.1,2.7788192719904172,0-20cm
4.5,1.7047480922384253,0-20cm
3.4,1.4816045409242156,20-50cm
4.4,1.6863989535702288,50-100cm
19.6,3.0252910757955354,0-20cm
14.5,2.740840023925201,0-20cm
7.3,2.1162555148025524,20-50cm
5.0,1.791759469228055,50-100cm
2.2,1.1631508098056809,>100cm
15.1,2.7788192719904172,0-20cm
6.1,1.9600947840472698,0-20cm
5.5,1.8718021769015913,20-50cm
4.0,1.6094379124341003,20-50cm
5.0,1.791759469228055,50-100cm
27.0,3.332204510175204,0-20cm
13.5,2.6741486494265287,0-20cm
8.8,2.2823823856765264,20-50cm
6.2,1.9740810260220096,50-100cm
4.8,1.7578579175523736,>100cm
23.5,3.1986731175506815,0-20cm
16.6,2.8678989020441064,0-20cm
15.9,2.827313621929028,20-50cm
5.9,1.9315214116032138,20-50cm
1.8,1.0296194171811583,50-100cm
2.0,1.0986122886681098,50-100cm
22.5,3.1570004211501135,0-20cm
14.7,2.7536607123542622,20-50cm
9.3,2.33214389523559,20-50cm
6.5,2.0149030205422647,50-100cm
5.5,1.8718021769015913,>100cm
17.1,2.89591193827178,0-20cm
15.7,2.8154087194227095,0-20cm
12.8,2.624668592163159,20-50cm
10.1,2.4069451083182885,50-100cm
10.2,2.4159137783010487,0-20cm
6.5,2.0149030205422647,0-20cm
7.0,2.0794415416798357,20-50cm
6.6,2.028148247292285,>100cm
8.2,2.2192034840549946,0-20cm
4.6,1.7227665977411035,0-20cm
6.2,1.9740810260220096,20-50cm
3.0,1.3862943611198906,50-100cm
2.4,1.2237754316221157,50-100cm
17.5,2.917770732084279,0-20cm
14.6,2.747270914255491,0-20cm
7.6,2.151762203259462,20-50cm
3.3,1.4586150226995167,20-50cm
42.9,3.7819143200811256,0-20cm
24.9,3.254242968705492,0-20cm
41.2,3.742420221041966,20-50cm
29.0,3.4011973816621555,20-50cm
20.8,3.0819099697950434,50-100cm
25.5,3.2771447329921766,0-20cm
7.9,2.186051276738094,0-20cm
9.4,2.341805806147327,20-50cm
11.9,2.5572273113676265,20-50cm
19.5,3.0204248861443626,0-20cm
9.6,2.3608540011180215,0-20cm
2.6,1.2809338454620642,20-50cm
2.8,1.33500106673234,50-100cm
12.8,2.624668592163159,0-20cm
7.3,2.1162555148025524,0-20cm
3.2,1.4350845252893227,20-50cm
5.1,1.8082887711792655,20-50cm
4.0,1.6094379124341003,50-100cm
23.3,3.190476350346503,0-20cm
16.4,2.856470206220483,0-20cm
3.7,1.547562508716013,20-50cm
2.9,1.3609765531356006,50-100cm
2.0,1.0986122886681098,50-100cm
17.2,2.9014215940827497,0-20cm
16.2,2.8449093838194073,0-20cm
8.5,2.2512917986064953,0-20cm
5.8,1.916922612182061,20-50cm
24.6,3.242592351485517,0-20cm
6.8,2.0541237336955462,0-20cm
9.6,2.3608540011180215,20-50cm
10.0,2.3978952727983707,20-50cm
7.0,2.0794415416798357,50-100cm
14.8,2.760009940032921,0-20cm
3.6,1.5260563034950494,0-20cm
2.3,1.1939224684724346,20-50cm
1.5,0.9162907318741551,20-50cm
1.4,0.8754687373538999,50-100cm
14.2,2.7212954278522306,0-20cm
6.1,1.9600947840472698,0-20cm
2.7,1.308332819650179,20-50cm
2.0,1.0986122886681098,20-50cm
3.7,1.547562508716013,50-100cm
26.2,3.3032169733019514,0-20cm
27.6,3.353406717825807,0-20cm
75.4,4.335982696172475,20-50cm
32.9,3.5234150143864045,50-100cm
3.1,1.410986973710262,50-100cm
21.8,3.126760535960395,0-20cm
16.5,2.8622008809294686,0-20cm
8.5,2.2512917986064953,20-50cm
5.9,1.9315214116032138,20-50cm
6.1,1.9600947840472698,50-100cm
18.9,2.990719731730447,0-20cm
7.3,2.1162555148025524,0-20cm
6.3,1.9878743481543455,20-50cm
6.0,1.9459101490553132,50-100cm
13.5,2.6741486494265287,0-20cm
5.7,1.9021075263969205,0-20cm
4.6,1.7227665977411035,20-50cm
2.6,1.2809338454620642,50-100cm
2.1,1.1314021114911006,50-100cm
25.1,3.261935314328648,0-20cm
21.0,3.091042453358316,0-20cm
6.7,2.0412203288596382,20-50cm
1.5,0.9162907318741551,50-100cm
21.3,3.104586678466073,0-20cm
18.6,2.975529566236472,0-20cm
4.9,1.7749523509116738,20-50cm
4.1,1.62924053973028,20-50cm
1.6,0.9555114450274363,50-100cm
0.7,0.5306282510621704,50-100cm
14.0,2.70805020110221,0-20cm
13.5,2.6741486494265287,0-20cm
7.1,2.0918640616783932,20-50cm
5.4,1.8562979903656263,20-50cm
3.2,1.4350845252893227,50-100cm
8.6,2.2617630984737906,0-20cm
5.8,1.916922612182061,20-50cm
4.1,1.62924053973028,20-50cm
3.7,1.547562508716013,50-100cm
13.5,2.6741486494265287,0-20cm
6.6,2.028148247292285,0-20cm
7.2,2.1041341542702074,20-50cm
5.0,1.791759469228055,50-100cm
16.7,2.8735646395797834,0-20cm
1.8,1.0296194171811583,0-20cm
1.5,0.9162907318741551,50-100cm
1.3,0.832909122935104,>100cm
7.6,2.151762203259462,0-20cm
18.0,2.9444389791664403,0-20cm
13.6,2.681021528714291,20-50cm
9.4,2.341805806147327,20-50cm
5.5,1.8718021769015913,0-20cm
2.8,1.33500106673234,20-50cm
2.2,1.1631508098056809,20-50cm
1.4,0.8754687373538999,50-100cm
17.2,2.9014215940827497,0-20cm
6.8,2.0541237336955462,0-20cm
2.9,1.3609765531356006,20-50cm
1.8,1.0296194171811583,50-100cm
1.7,0.9932517730102833,>100cm
3.9,1.589235205116581,0-20cm
2.6,1.2809338454620642,0-20cm
2.2,1.1631508098056809,20-50cm
2.0,1.0986122886681098,50-100cm
10.7,2.4595888418037104,0-20cm
3.9,1.589235205116581,0-20cm
4.1,1.62924053973028,20-50cm
4.4,1.6863989535702288,50-100cm
11.9,2.5572273113676265,0-20cm
5.9,1.9315214116032138,20-50cm
4.2,1.6486586255873816,50-100cm
3.0,1.3862943611198906,50-100cm
21.4,3.109060958860994,0-20cm
15.2,2.785011242238338,0-20cm
4.3,1.667706820558076,20-50cm
3.3,1.4586150226995167,50-100cm
2.2,1.1631508098056809,50-100cm
16.2,2.8449093838194073,0-20cm
14.1,2.714694743820879,0-20cm
8.3,2.2300144001592104,20-50cm
9.5,2.3513752571634776,50-100cm
7.0,2.0794415416798357,0-20cm
3.8,1.5686159179138452,0-20cm
3.7,1.547562508716013,20-50cm
2.7,1.308332819650179,50-100cm
20.1,3.0492730404820207,0-20cm
9.5,2.3513752571634776,0-20cm
5.4,1.8562979903656263,20-50cm
5.8,1.916922612182061,50-100cm
12.4,2.5952547069568657,0-20cm
5.8,1.916922612182061,0-20cm
1.4,0.8754687373538999,0-20cm
0.7,0.5306282510621704,20-50cm
4.5,1.7047480922384253,0-20cm
3.3,1.4586150226995167,0-20cm
1.3,0.832909122935104,20-50cm
2.4,1.2237754316221157,50-100cm
12.0,2.5649493574615367,0-20cm
7.8,2.174751721484161,0-20cm
5.2,1.824549292051046,20-50cm
1.8,1.0296194171811583,50-100cm
20.6,3.0726933146901194,0-20cm
6.9,2.066862759472976,0-20cm
1.6,0.9555114450274363,20-50cm
1.3,0.832909122935104,>100cm
14.2,2.7212954278522306,0-20cm
8.4,2.2407096892759584,0-20cm
1.5,0.9162907318741551,20-50cm
1.5,0.9162907318741551,50-100cm
16.0,2.833213344056216,0-20cm
10.9,2.4765384001174837,0-20cm
4.0,1.6094379124341003,20-50cm
3.2,1.4350845252893227,>100cm
15.2,2.785011242238338,0-20cm
14.4,2.7343675094195836,20-50cm
13.7,2.6878474937846906,20-50cm
11.7,2.5416019934645457,50-100cm
13.0,2.6390573296152584,50-100cm
21.3,3.104586678466073,0-20cm
20.9,3.086486636822455,0-20cm
17.3,2.9069010598473755,20-50cm
18.8,2.9856819377004897,0-20cm
14.9,2.766319109226186,0-20cm
