variant,subset,n_offsets,R2_mean,R2_sd,RMSE_mean,MAE_mean
full,0-20cm,4,0.5426392803023897,0.012569722466008893,0.4882652773926657,0.37369840373564256
full,100-200cm,4,0.26316487967327096,0.019744626952999996,0.5397611897095846,0.41657101665537466
full,20-50cm,4,0.4314992460672218,0.010521700901780756,0.5249626238590251,0.4046480017281216
full,50-100cm,4,0.3111826242131531,0.014236889139472655,0.5402279713410364,0.41823131081289244
full,all,4,0.5719907735112173,0.008989722024328062,0.5150703677042032,0.3960493189870345
full,method:direct,4,0.5249837802441537,0.00810603504532164,0.5192008832685138,0.39840899170795613
full,method:indirect,4,0.6622395138514192,0.011875508974992687,0.5033066849920043,0.38944146611899316
no_bulk_density,0-20cm,4,0.41110671212541383,0.013660885460605149,0.5540559403078459,0.42229704997914974
no_bulk_density,100-200cm,4,0.14425463969120753,0.024940181811359836,0.5816792331465926,0.44066039234294996
no_bulk_density,20-50cm,4,0.314943581897551,0.012310453004923215,0.576271081722538,0.44562851225720373
no_bulk_density,50-100cm,4,0.18965140904073857,0.013128409892937985,0.5859596453000318,0.4513764930264677
no_bulk_density,all,4,0.4755970876017746,0.009666625017799375,0.5701337200563661,0.4374743666204094
no_bulk_density,method:direct,4,0.451470043246625,0.010531043442304338,0.5579281512738925,0.4299930449805226
no_bulk_density,method:indirect,4,0.5152707676508517,0.008890617836783002,0.6029964741802547,0.45842450611075264
