buffer_km_target,subset,R2_size_matched_mean,R2_buffered_mean,additional_buffer_penalty_mean,additional_buffer_penalty_sd,additional_buffer_penalty_q025,additional_buffer_penalty_q975
50,0-20cm,0.5684836631165819,0.5557789133685216,0.012704749748060313,0.0035346677583481625,0.0058769459022567335,0.017614759740210744
50,100-200cm,0.3196119324980597,0.291914462512452,0.02769746998560769,0.006665863659505488,0.017006275761739128,0.04079286206881251
50,20-50cm,0.4672891277703136,0.45075967596933275,0.01652945180098086,0.002650495814011722,0.011243586390097681,0.020143336236680107
50,50-100cm,0.3532453798952725,0.3358701888486246,0.01737519104664791,0.0030621536962751493,0.01068122836591456,0.021787921103089327
50,all,0.5979380924461032,0.5860158256282155,0.011922266817887633,0.00130181609039369,0.009230346114686063,0.014334802143971639
100,0-20cm,0.5666458181581849,0.5426392803023898,0.02400653785579521,0.004436124626060703,0.016753206761411753,0.031464177834684956
100,100-200cm,0.3148105434667591,0.26316487967327096,0.0516456637934881,0.016317871799062147,0.02830152892371015,0.08019072926673748
100,20-50cm,0.46486134774684207,0.4314992460672218,0.03336210167962027,0.006427025180243231,0.023460978935139827,0.04484573667539975
100,50-100cm,0.34965229413784094,0.31118262421315324,0.0384696699246877,0.009433364250330409,0.02322468009196337,0.0520390122252278
100,all,0.5959958862633774,0.5719907735112174,0.024005112752160017,0.004660054702229987,0.016338837971384655,0.03198263434520179
200,0-20cm,0.5624537759804792,0.5132144447038117,0.04923933127666747,0.004571360876742421,0.042043122296683125,0.05640729024713586
200,100-200cm,0.2998132426015842,0.1863329030668911,0.1134803395346931,0.021607764545902963,0.07724925443260262,0.14604603766613738
200,20-50cm,0.45797545531067907,0.38942950952478406,0.06854594578589504,0.010091070146770735,0.04930690475230801,0.08453357846542905
200,50-100cm,0.34206817554742847,0.26561217568994844,0.07645599985748006,0.014918491842078208,0.049114725440025986,0.09388425845342449
200,all,0.5912620835320839,0.5422522567803207,0.049009826751763144,0.005616499289149147,0.03791790285886655,0.05434119278741319
