cv_design,model,subset,n_evaluations,R2_log_mean,R2_log_sd,RMSE_log_mean,MAE_log_mean,R2_raw_mean,RMSE_raw_g_kg_mean,MAE_raw_g_kg_mean
Random_profile_5fold_seed_20260725,OLS,0-20cm,5,0.5059089448872129,0.03057283536378574,0.555920313193424,0.42808484435522276,0.4308981226045333,12.958696902278842,6.737190500260949
Random_profile_5fold_seed_20260725,OLS,20-50cm,5,0.3432160939016632,0.05383498414909202,0.5827801911420813,0.45442979791446103,0.36419862900999617,8.817342778170168,4.364153372704981
Random_profile_5fold_seed_20260725,OLS,50-100cm,5,0.22874035277261423,0.0585638010160351,0.5989280105809354,0.4620203856057702,0.22065527853509065,8.536716511261595,3.5234547807461034
Random_profile_5fold_seed_20260725,OLS,>100cm,5,0.07437293964667828,0.07994785728117938,0.597570753571409,0.4449009358217211,0.13552262711100507,7.44699767097008,2.8214979495792596
Random_profile_5fold_seed_20260725,OLS,all,5,0.518950869244146,0.02978478627837929,0.5757535604205553,0.44382672512219357,0.44676860512443534,10.82320834053952,5.1494641960175
Random_profile_5fold_seed_20260725,RF,0-20cm,5,0.6711659321512636,0.020929312104592628,0.45351852165061446,0.33771696621698877,0.5853349765929725,11.072995421489926,5.396413755218859
Random_profile_5fold_seed_20260725,RF,20-50cm,5,0.5392519223958974,0.03256619407848489,0.4884810093354114,0.37413637065860456,0.45931619743510577,8.213668252099742,3.6444460881377365
Random_profile_5fold_seed_20260725,RF,50-100cm,5,0.4160827133711324,0.036548999881941484,0.5215551003403764,0.39659866241353003,0.2827699772736195,8.23538147703989,3.094466085996202
Random_profile_5fold_seed_20260725,RF,>100cm,5,0.37461170265199584,0.07914958560430961,0.4892667893452076,0.37367190815713813,0.3340800282058515,6.736937845084789,2.498583339722355
Random_profile_5fold_seed_20260725,RF,all,5,0.6640444441151226,0.017295097583498988,0.4812831372170791,0.36287719632908616,0.5655618388304723,9.61083177801974,4.239645783222106
Random_profile_5fold_seed_20260725,Ridge,0-20cm,5,0.5025747296241033,0.029852829109013813,0.5577998191468835,0.4307038320883779,0.4270303670321388,13.00182318928915,6.772963955210646
Random_profile_5fold_seed_20260725,Ridge,20-50cm,5,0.34335990890696033,0.052628872655120555,0.5827651498850187,0.45477353545023097,0.36368054218170603,8.822776493145728,4.367889397466609
Random_profile_5fold_seed_20260725,Ridge,50-100cm,5,0.2297789190057049,0.057790526366285795,0.5985548200421191,0.46188831328178337,0.22062504411804235,8.537865108753596,3.526819824590617
Random_profile_5fold_seed_20260725,Ridge,>100cm,5,0.064903069340182,0.10600067976324695,0.6013247342398066,0.4438582531873709,0.14310051045343714,7.4239432338498235,2.8120931484638056
Random_profile_5fold_seed_20260725,Ridge,all,5,0.5172037993620477,0.029047640581486883,0.576804426970899,0.44501190589663464,0.44429115491539733,10.847000492287064,5.166754659160593
Random_profile_5fold_seed_20260726,OLS,0-20cm,5,0.5053754756888107,0.01194996118384142,0.5565385903948311,0.4283754140501287,0.4331034675742237,12.94048008738262,6.7431189234623
Random_profile_5fold_seed_20260726,OLS,20-50cm,5,0.34292566446666406,0.029592477284675414,0.5831593841158573,0.4544758827888907,0.3655640189737027,8.869709750472238,4.3636626025808445
Random_profile_5fold_seed_20260726,OLS,50-100cm,5,0.22039800572209628,0.09367512679418653,0.5997637963080344,0.462375599088897,0.2086952538049575,8.484844548173147,3.530604460493934
Random_profile_5fold_seed_20260726,OLS,>100cm,5,0.04137307944339674,0.25835650245349073,0.6019682026298703,0.4472548371709898,0.11151148889986666,8.365953824802238,2.8383546328629246
Random_profile_5fold_seed_20260726,OLS,all,5,0.5177424696017814,0.0223992906676189,0.5764395123809498,0.4441722874726377,0.4473182845563886,10.829573626481572,5.153760993283901
Random_profile_5fold_seed_20260726,RF,0-20cm,5,0.6721868410873066,0.024025968601571798,0.45289389461035245,0.33672936114655755,0.5874373413967735,11.045960982649493,5.379764793028945
Random_profile_5fold_seed_20260726,RF,20-50cm,5,0.5362354187160228,0.033183457494524136,0.4896844948599612,0.37562693602047237,0.4526250509427099,8.277273610341267,3.6650869860489736
Random_profile_5fold_seed_20260726,RF,50-100cm,5,0.4064316521177405,0.0661785632078327,0.5235687961299622,0.39818917399822495,0.2720053008507545,8.188103470594513,3.1222159249960275
Random_profile_5fold_seed_20260726,RF,>100cm,5,0.3681425339644815,0.06047261219678628,0.49363883217924964,0.37763321731032173,0.24441277216573978,7.767474295430229,2.5339822043659455
Random_profile_5fold_seed_20260726,RF,all,5,0.6625873995347307,0.0206456432306649,0.4820675553916053,0.363472150673835,0.5631648954401323,9.634904750478563,4.245310999064631
Random_profile_5fold_seed_20260726,Ridge,0-20cm,5,0.5022185174261626,0.013793783217074881,0.5583155314869688,0.43096346867431456,0.4293622855967422,12.98471994846374,6.779500886444287
Random_profile_5fold_seed_20260726,Ridge,20-50cm,5,0.34280829622143505,0.02849249685485209,0.583218386812452,0.45479590499040085,0.3644611964868684,8.877242569327894,4.367864685004091
Random_profile_5fold_seed_20260726,Ridge,50-100cm,5,0.22155764222589944,0.09134231457394969,0.5993969956100751,0.462315999608944,0.20884730767364235,8.48507661299173,3.5343079132374045
Random_profile_5fold_seed_20260726,Ridge,>100cm,5,0.017625151784636396,0.32774390800160896,0.6064846056936484,0.4463603119762373,0.11520145213999762,8.347691262627311,2.8286613357706827
Random_profile_5fold_seed_20260726,Ridge,all,5,0.5160041352657123,0.024460108876839422,0.5774499682737948,0.4453478665961117,0.4448487331687927,10.854287354168473,5.171415400821001
Random_profile_5fold_seed_20260727,OLS,0-20cm,5,0.504752785592002,0.016952650037256815,0.5564572501360631,0.42842375893226414,0.43165761685489823,12.96879519332694,6.744042096586952
Random_profile_5fold_seed_20260727,OLS,20-50cm,5,0.3411024396814679,0.05047310741679418,0.5834565402162237,0.4549836168982459,0.37324145103766415,8.849063052047569,4.36419421396936
Random_profile_5fold_seed_20260727,OLS,50-100cm,5,0.22600039604682376,0.07487467490136974,0.5992714045132566,0.4626359779733689,0.23134714614618151,8.48930184718957,3.519694002111504
Random_profile_5fold_seed_20260727,OLS,>100cm,5,0.07212893320761024,0.12522047116237484,0.6005020732367925,0.446620692518763,0.10390500823807018,8.272264889199098,2.8272603711538857
Random_profile_5fold_seed_20260727,OLS,all,5,0.5183027279879506,0.011565791124579918,0.5763319583395377,0.4443788089688606,0.4463302752661603,10.854262074594761,5.153273934685072
Random_profile_5fold_seed_20260727,RF,0-20cm,5,0.672095469651643,0.01748077657682584,0.4526249076710851,0.33651487891491066,0.5880798348640831,11.04477351138474,5.379830984393008
Random_profile_5fold_seed_20260727,RF,20-50cm,5,0.541773166888284,0.034177629529904836,0.4866856590349363,0.3732577824228228,0.4612788162499382,8.242399302774169,3.6474676529763075
Random_profile_5fold_seed_20260727,RF,50-100cm,5,0.4220252026359795,0.032924788254854266,0.5183313456919503,0.3949974493910126,0.3143792894424478,8.053848459761744,3.0742596894066154
Random_profile_5fold_seed_20260727,RF,>100cm,5,0.3719739352448953,0.05546825947596566,0.49518071383608253,0.37835890224875546,0.24643958173554897,7.68663874738027,2.5337054369492766
Random_profile_5fold_seed_20260727,RF,all,5,0.6658647658996264,0.009322747748612284,0.47998056665941197,0.3620794868375372,0.5665978225160648,9.60751703455465,4.231936516742076
Random_profile_5fold_seed_20260727,Ridge,0-20cm,5,0.5013648753256904,0.016125541573685086,0.5583731755322014,0.4310639703998464,0.42807072847941513,13.009962880988606,6.780112043243771
Random_profile_5fold_seed_20260727,Ridge,20-50cm,5,0.34117792824446824,0.04955121531032078,0.5834418794744662,0.4552808414141369,0.37192122482185097,8.857869266118497,4.368032724011567
Random_profile_5fold_seed_20260727,Ridge,50-100cm,5,0.22706677594312435,0.0725895077944236,0.5989000556403958,0.46253755847544975,0.23127965983670878,8.490875047843835,3.5230131291562934
Random_profile_5fold_seed_20260727,Ridge,>100cm,5,0.0566827241110464,0.1454895270776172,0.6051980455006934,0.44518433342827296,0.10806077297935135,8.254024014105317,2.8163460946198176
Random_profile_5fold_seed_20260727,Ridge,all,5,0.5165921586450285,0.012202511106433089,0.5773542990020819,0.4455385352008315,0.44392713520557986,10.877815002941386,5.170622133777863
Spatial_grid_5deg_GroupKFold,OLS,0-20cm,5,0.46335336799596794,0.06507254610257847,0.5652315000501422,0.43895596062457337,0.41374269510991135,12.823422871752536,6.809001128436333
Spatial_grid_5deg_GroupKFold,OLS,20-50cm,5,0.27485713195174943,0.13736133700889633,0.5995688790727233,0.4721671489480655,0.35591439276284065,8.753915224639979,4.458373734273826
Spatial_grid_5deg_GroupKFold,OLS,50-100cm,5,0.16309114448018125,0.1452029622106132,0.6150389957285025,0.4769825318348523,0.21362562164204152,8.34408239442351,3.591759334738274
Spatial_grid_5deg_GroupKFold,OLS,>100cm,5,0.007080847596896511,0.11454450120194726,0.6166380957360035,0.45896520722963413,0.10424656413541258,8.228847289973178,2.8469157590021643
Spatial_grid_5deg_GroupKFold,OLS,all,5,0.48397382401427275,0.07747046697464921,0.5891711046174681,0.4570821462515475,0.4341097635843282,10.727080231805058,5.224183661506089
Spatial_grid_5deg_GroupKFold,RF,0-20cm,5,0.5737923288872717,0.07426468433304885,0.49978016601531633,0.3780211846512923,0.4904138720470611,11.831598236501751,5.96514225199361
Spatial_grid_5deg_GroupKFold,RF,20-50cm,5,0.432056314143313,0.08689241130021634,0.5307208678624307,0.40759906985903427,0.34381352773641716,8.721175310657516,3.9457815263191547
Spatial_grid_5deg_GroupKFold,RF,50-100cm,5,0.3181914132667647,0.07222831318020502,0.5560020701364807,0.42616455676987164,0.228082490562496,8.217819330221673,3.269500115356918
Spatial_grid_5deg_GroupKFold,RF,>100cm,5,0.28143553194926163,0.0802970445290646,0.525407808380608,0.4073635789343018,0.2019034737245092,7.797599249893824,2.6632244179041136
Spatial_grid_5deg_GroupKFold,RF,all,5,0.5926699036883777,0.049803860907334976,0.522934044875118,0.3984035694078293,0.4849874517815941,10.1498411926142,4.62591322278451
Spatial_grid_5deg_GroupKFold,Ridge,0-20cm,5,0.462018424735865,0.0552308996576976,0.5662121991284192,0.44090384289073914,0.4109296057917537,12.857445504670356,6.839741497273536
Spatial_grid_5deg_GroupKFold,Ridge,20-50cm,5,0.27639923547542783,0.13275594353112777,0.5989635912065799,0.4719002274991029,0.3557624770111084,8.756476685913624,4.459455847515055
Spatial_grid_5deg_GroupKFold,Ridge,50-100cm,5,0.16673679850718054,0.13883012310231285,0.6137719758746911,0.4764206369532286,0.21400396437181585,8.34252384346926,3.5937401079724696
Spatial_grid_5deg_GroupKFold,Ridge,>100cm,5,-0.00872907764875457,0.1397859141151461,0.6209821480419491,0.4571227670276256,0.10933373244445552,8.208906068258187,2.8364386592370265
Spatial_grid_5deg_GroupKFold,Ridge,all,5,0.48377747552337097,0.06943408494356922,0.5894843065091588,0.45766022363202474,0.4325266401380884,10.744428557984786,5.238149762875876
