coverage_threshold,standard_depth,n_records,n_profiles,SOC_mean_g_kg,SOC_median_g_kg
0.5,0-20cm,5668,5668,16.534229149324393,12.6042
0.5,20-50cm,4199,4199,9.493404847495093,6.499999999999999
0.5,50-100cm,3607,3607,6.399143935772434,4.332
0.5,100-200cm,515,515,5.167363952737937,3.3449342616666664
0.8,0-20cm,4832,4832,16.03110393340982,12.04
0.8,20-50cm,4023,4023,9.302321558676276,6.466666666666667
0.8,50-100cm,3388,3388,6.21474796179364,4.2952436196
0.8,100-200cm,140,140,5.1030633682523945,3.3781304347826087
1.0,0-20cm,4820,4820,16.03025956942611,12.04
1.0,20-50cm,3966,3966,9.292255685354563,6.480525908800001
1.0,50-100cm,3209,3209,6.185346777227598,4.25
1.0,100-200cm,85,85,4.955915437489411,3.1069999999999998
