design,model,standard_depth,n_repeats,R2_pooled_mean,R2_pooled_sd,R2_pooled_q025,R2_pooled_median,R2_pooled_q975,RMSE_pooled_mean
matched_n,RF,0-20cm,30,0.5013962079435937,0.03276671537322102,0.4337045493901876,0.4985624909585429,0.5588392026983096,0.5077049902933978
matched_n,RF,100-200cm,30,0.31055403070373855,0.022197312873656814,0.26834658693615737,0.3073583535795299,0.35251945824864833,0.5220856582483712
matched_n,RF,20-50cm,30,0.4094353911785367,0.05192223952891082,0.3173965699026278,0.4140764152020042,0.4951246211403297,0.5303408910661084
matched_n,RF,50-100cm,30,0.3021216758448736,0.037536933065934225,0.2377753777008105,0.2941591821867867,0.3707911730937167,0.5445224048003983
matched_n,Ridge,0-20cm,30,0.41498300369545815,0.03885667763297789,0.34410442894097243,0.4145876931967053,0.4884066963673911,0.5497905007053022
matched_n,Ridge,100-200cm,30,0.20907731067227708,0.014429181237977762,0.17195055249038968,0.21165151646879282,0.23194562942439084,0.5592369749145828
matched_n,Ridge,20-50cm,30,0.315129705836351,0.057544462801275266,0.2095164152122601,0.3151771526900711,0.4037827692078079,0.5712442560530046
matched_n,Ridge,50-100cm,30,0.1818672968561841,0.05315842951057615,0.08191126146819952,0.18903477815980396,0.26927001184039134,0.5893190667744499
matched_spatial,RF,0-20cm,30,0.4957734043815416,0.030850176047125567,0.426713066204907,0.5009288232366479,0.5412465288361107,0.4934935280773802
matched_spatial,RF,100-200cm,30,0.3120673009618259,0.009632206941734372,0.2961449959280412,0.31273206567364614,0.3283686383624805,0.5215654272544314
matched_spatial,RF,20-50cm,30,0.3898323657796729,0.02977435464214025,0.34043508950688306,0.3875634607345433,0.44751202649276794,0.5172542998469671
matched_spatial,RF,50-100cm,30,0.2858857098508672,0.033764734596553575,0.23012066788213092,0.28746313519750716,0.3405075398377655,0.5357022439721794
matched_spatial,Ridge,0-20cm,30,0.4053391403196311,0.034519949026327816,0.34466657877851425,0.40372063049764034,0.47122065900984217,0.5359162103843312
matched_spatial,Ridge,100-200cm,30,0.21502774323222648,0.006441477445321178,0.20353974898135815,0.21553583523722075,0.22369299941876133,0.5571469192373582
matched_spatial,Ridge,20-50cm,30,0.31443836054174557,0.03558662910165256,0.24806377618794676,0.31736720180548555,0.37874247088615215,0.5481310219050639
matched_spatial,Ridge,50-100cm,30,0.14032324727295642,0.04666566272601497,0.05697044314480457,0.14040826516260507,0.21120749972006167,0.5875417652977472
paired_profile,RF,0-20cm,1,0.4919052327803326,,0.4919052327803326,0.4919052327803326,0.4919052327803326,0.47441634485243706
paired_profile,RF,100-200cm,1,0.29785172963204753,,0.29785172963204753,0.29785172963204753,0.29785172963204753,0.5037255105496613
paired_profile,RF,20-50cm,1,0.4600125113690571,,0.4600125113690571,0.4600125113690571,0.4600125113690571,0.5078987887201157
paired_profile,RF,50-100cm,1,0.3786875807014457,,0.3786875807014457,0.3786875807014457,0.3786875807014457,0.5111582804305023
paired_profile,Ridge,0-20cm,1,0.3645208574777885,,0.3645208574777885,0.3645208574777885,0.3645208574777885,0.5305641878129476
paired_profile,Ridge,100-200cm,1,0.161550752560919,,0.161550752560919,0.161550752560919,0.161550752560919,0.5504500558968333
paired_profile,Ridge,20-50cm,1,0.32717262726333995,,0.32717262726333995,0.32717262726333995,0.32717262726333995,0.5669400715348294
paired_profile,Ridge,50-100cm,1,0.20821902394427905,,0.20821902394427905,0.20821902394427905,0.20821902394427905,0.5770360077836358
