group,subset,n,delta_R2_mean,delta_R2_sd,delta_R2_q025,delta_R2_median,delta_R2_q975
bulk_density,0-20cm,80,0.3774187449678251,0.01049832307993926,0.3579758417392442,0.3759793491458049,0.39673108673267005
bulk_density,100-200cm,80,0.47441975554027405,0.06316400661939314,0.3719331085283128,0.469847681818196,0.5947480399416633
bulk_density,20-50cm,80,0.3091448970158822,0.011189037332017208,0.28944648684784763,0.3092667244971892,0.33249231197503487
bulk_density,50-100cm,80,0.36581314866105874,0.020174629291399168,0.3298606195690216,0.36268669630027167,0.4130518378993669
bulk_density,all,80,0.27679378629324064,0.005634574910394643,0.2676359642044867,0.27753729069813343,0.286841316773794
bulk_density,method:direct,80,0.25670626882682873,0.007402548019582533,0.24474561049635626,0.25675835608074493,0.2708024651847041
bulk_density,method:indirect,80,0.3253886040211884,0.011773543736204971,0.3061429515697092,0.3266534781879086,0.34890820545683476
climate,0-20cm,80,0.15008608684379937,0.012135643480727286,0.13183019996515793,0.15052246561903976,0.16830557787766062
climate,100-200cm,80,0.21458125614820306,0.02644959086976455,0.17092649358642967,0.21644899166520437,0.25819624128227353
climate,20-50cm,80,0.14077483003484745,0.008221105265717694,0.11972849231858426,0.14054075991437176,0.15775276787509296
climate,50-100cm,80,0.11838944550190507,0.010814133177756972,0.09949984393826629,0.11961124922539307,0.14004993932270648
climate,all,80,0.11009434403024365,0.005237924707693552,0.1006383308627696,0.11096508068965022,0.11726677492822977
climate,method:direct,80,0.11449641119012492,0.0062578879174939,0.10101514286507637,0.11542079547140527,0.12628241897896694
climate,method:indirect,80,0.103170219271875,0.011888192940266268,0.08567829953832432,0.10194288052912082,0.124592775733814
layer_geometry,0-20cm,80,0.3235182370089234,0.012662450764262834,0.2982780597794456,0.3247447937743809,0.34438611535097463
layer_geometry,100-200cm,80,0.8616407332723556,0.06746097203785664,0.7463903662187158,0.8608492291456937,0.9789538097117406
layer_geometry,20-50cm,80,0.1593989452450588,0.011205757897116173,0.1387099194878081,0.15812023554317073,0.18003776369066576
layer_geometry,50-100cm,80,0.43019405794340226,0.020963147367209806,0.3930390316645379,0.4265199065809427,0.4709900556151283
layer_geometry,all,80,0.24371593362733548,0.006167173163824923,0.23282521695246744,0.24270975396723532,0.25677944163590755
layer_geometry,method:direct,80,0.2752783609217175,0.0073435495028747215,0.25992129684374543,0.27413146420344336,0.2901218527738776
layer_geometry,method:indirect,80,0.18216657228479155,0.00907460495912857,0.16526425801300662,0.18099240227819402,0.20110822759989883
soil_pH,0-20cm,80,0.044542978485731,0.008205629720794675,0.028898666723058665,0.04551214063595033,0.057517703854947824
soil_pH,100-200cm,80,0.04871805930917479,0.012735823378362468,0.028796157146793316,0.04756352600399649,0.07092813731429434
soil_pH,20-50cm,80,0.041157739891542686,0.004587170062425392,0.03197719864928042,0.042397031784047856,0.04787930299341012
soil_pH,50-100cm,80,0.035127993922519064,0.005208464178789657,0.027876422799401716,0.03458971599005217,0.045664554213989586
soil_pH,all,80,0.03217526114729709,0.0041677114481024485,0.024248749531008695,0.0334725185003138,0.03728679608512139
soil_pH,method:direct,80,0.029614788905713257,0.0035762743393758186,0.023341557623975516,0.030394782961363997,0.03507513510346311
soil_pH,method:indirect,80,0.03830166857137998,0.007875232483736118,0.023845337277020033,0.04058343024098804,0.04878052513959823
soil_texture,0-20cm,80,0.08745815098687258,0.006568146944544915,0.07639324337011087,0.0870226533009904,0.09926036004669878
soil_texture,100-200cm,80,0.04454095025229352,0.011408735096470522,0.02505406626196282,0.04623658828808547,0.062492787336461
