grid_scale_deg,model,subset,n_offsets,R2_mean,R2_sd_offsets,R2_min,R2_max,distance_median_mean_km,pct_under_100km_mean
2.5,RF,0-20cm,4,0.5940170213850943,0.0022397809422903723,0.5922721668085773,0.5972273162112811,67.9359172866713,73.69883556810163
2.5,RF,100-200cm,4,0.3594606264635409,0.010280296784505398,0.3466644973275905,0.3694339261933691,65.74551254836457,76.2621359223301
2.5,RF,20-50cm,4,0.49456695518636545,0.00393146506134226,0.48961223633361695,0.4992136335455124,68.44056502336741,74.13074541557513
2.5,RF,50-100cm,4,0.38401788361773276,0.006236216712689935,0.3798087708247281,0.39307854969683886,68.60091638901586,74.07818131411145
2.5,RF,all,4,0.6194015430047768,0.002596251113620379,0.6170524363523775,0.6230990739302237,68.16565527441958,74.02065908928444
2.5,Ridge,0-20cm,4,0.4833687872388298,0.005740969822294844,0.4780955706571568,0.4886540583853335,67.9359172866713,73.69883556810163
2.5,Ridge,100-200cm,4,0.17076040280022484,0.005730692489938144,0.1642161369687043,0.17799439973961995,65.74551254836457,76.2621359223301
2.5,Ridge,20-50cm,4,0.34483887005127,0.0071062207197691695,0.33867235039130217,0.35230627094522615,68.44056502336741,74.13074541557513
2.5,Ridge,50-100cm,4,0.22636698648608453,0.007716664452259235,0.21913215279700093,0.23413181851622777,68.60091638901586,74.07818131411145
2.5,Ridge,all,4,0.5143320977415116,0.005059155585684377,0.5099190303131778,0.5194244563823105,68.16565527441958,74.02065908928444
5.0,RF,0-20cm,4,0.5691198149696854,0.014776478192818143,0.5553346988513047,0.5838746653503575,110.35731041519989,44.9894142554693
5.0,RF,100-200cm,4,0.32248883843279585,0.008312291491421014,0.3139707716629937,0.3317494608064121,101.79780512645496,48.883495145631066
5.0,RF,20-50cm,4,0.46908248824849097,0.008415568509848374,0.45680649045509947,0.47528513165121766,109.75727810732245,44.97499404620147
5.0,RF,50-100cm,4,0.3537668167082003,0.012360136933038486,0.33606260919827513,0.3643067717561178,110.3682324708147,44.690878846687
5.0,RF,all,4,0.5987353149976198,0.008680317491575334,0.5886579007353014,0.6071839605231772,109.76090024435314,45.05146901136607
5.0,Ridge,0-20cm,4,0.4686941395293864,0.005409727826304009,0.46281051749110946,0.47535789668311657,110.35731041519989,44.9894142554693
5.0,Ridge,100-200cm,4,0.147179321912136,0.013542895346317741,0.12708890447506216,0.15604738991739464,101.79780512645496,48.883495145631066
5.0,Ridge,20-50cm,4,0.3306262208954225,0.0029398575748358765,0.3274242964381031,0.3342971340094979,109.75727810732245,44.97499404620147
5.0,Ridge,50-100cm,4,0.2103290179370738,0.005028178496293555,0.20496117046474027,0.21689992415034232,110.3682324708147,44.690878846687
5.0,Ridge,all,4,0.5026147974102461,0.0035496768613762237,0.4984403785153845,0.5071136217899019,109.76090024435314,45.05146901136607
7.5,RF,0-20cm,4,0.557039665969985,0.015262898876742535,0.5392260238555497,0.5721821778870099,143.3515108581143,32.868736767819335
7.5,RF,100-200cm,4,0.30637997965788233,0.025580694014719706,0.2728870737417617,0.3346837142407749,145.48269747430263,33.932038834951456
7.5,RF,20-50cm,4,0.4416514497019776,0.020136470531559182,0.41893521212351936,0.46780658689259746,146.85478916386734,32.42438675875208
7.5,RF,50-100cm,4,0.3192163671755988,0.02131448302929143,0.2953139106839153,0.3464291737263411,146.181156641868,32.33989464929304
7.5,RF,all,4,0.5817118169558322,0.01237699167077374,0.56965859130368,0.5967056814237581,144.4015913403477,32.6381442562013
7.5,Ridge,0-20cm,4,0.4664233221215939,0.008292909987370442,0.4549589900903428,0.4744500125662011,143.3515108581143,32.868736767819335
7.5,Ridge,100-200cm,4,0.1438037410531294,0.019029781571233167,0.11604080931271621,0.1574805398549587,145.48269747430263,33.932038834951456
7.5,Ridge,20-50cm,4,0.322885784753445,0.0076352644064993464,0.31143439785107097,0.3268511479688031,146.85478916386734,32.42438675875208
7.5,Ridge,50-100cm,4,0.19732701837150457,0.011256216248872042,0.1808654580130744,0.20603207721768646,146.181156641868,32.33989464929304
7.5,Ridge,all,4,0.497653100796599,0.004524534601219733,0.49251121907610873,0.5024500153238123,144.4015913403477,32.6381442562013
10.0,RF,0-20cm,4,0.5435866460066818,0.02235107937510416,0.5159942384073799,0.5657651239491474,195.04071185304556,24.94266055045872
10.0,RF,100-200cm,4,0.2808588458718543,0.0425803156028433,0.22941903866165958,0.3309579557268034,188.3944926202544,27.281553398058254
10.0,RF,20-50cm,4,0.4289865578490912,0.027820164070739714,0.390081429651024,0.4533523431020142,187.82730300265294,25.839485591807573
10.0,RF,50-100cm,4,0.31890602882990715,0.030735348422482416,0.27626565474805087,0.34964190607175827,187.0744657844422,25.672303853617965
10.0,RF,all,4,0.5735005476809627,0.019785457452148075,0.546242084048622,0.5933714987736328,190.63575769838258,25.48609621845736
10.0,Ridge,0-20cm,4,0.464530769656339,0.010715885197238394,0.4552666328961167,0.47980779196620915,195.04071185304556,24.94266055045872
10.0,Ridge,100-200cm,4,0.12575297985138165,0.062250599601842246,0.036123970032439945,0.18027918744889337,188.3944926202544,27.281553398058254
10.0,Ridge,20-50cm,4,0.31995268307499725,0.014727522556071067,0.3104862614528128,0.34184324926957455,187.82730300265294,25.839485591807573
10.0,Ridge,50-100cm,4,0.19283542328137634,0.022802602338251324,0.1734566101685071,0.22575023792619842,187.0744657844422,25.672303853617965
10.0,Ridge,all,4,0.495104102989415,0.011626472735702727,0.48865630287565354,0.5125303150488942,190.63575769838258,25.48609621845736
