n_estimators,max_depth,learning_rate,subsample,R2_mean,R2_std,RMSE_mean,RMSE_std
100,4,0.1,0.8,0.550350464093059,0.060116646299984,0.5507298226162631,0.05706562063231665
100,6,0.1,0.8,0.5431049566663468,0.06837244898361497,0.554886832921837,0.06012299567339715
200,4,0.1,0.8,0.5372266554294007,0.07226995639505279,0.5582337188425857,0.060992449646955604
200,6,0.1,0.8,0.5295047807503349,0.07124113521041416,0.5630757405955252,0.06170521522518249
200,6,0.05,0.8,0.5534717625224218,0.07221660017298052,0.548177190077507,0.05982882903386135
200,8,0.1,0.8,0.5220003480439205,0.06467456735627194,0.5674228012047581,0.055521534991166785
300,6,0.05,0.8,0.5457766765586862,0.07451521764464793,0.5527884217298602,0.06027213961062327
300,6,0.1,0.7,0.5188098870236331,0.06917068742446783,0.5695249139095023,0.060151437612220617
500,6,0.05,0.8,0.5379859494538464,0.0750143866950022,0.557614221845852,0.06107505406514456
500,8,0.03,0.7,0.542559024857253,0.05931164726174235,0.5556556681580371,0.057002557818017316
